restaurant	location	price	open	type
合益佳	118	$		
淺草飯糰	118	$		
松田飯糰	118	$		
源士林	118	$		
四麵八方	118	$		
大李水餃	118	$		
小李水餃	118	$		
笑嘻嘻	118	$$		
找碗	118	$$		
池先生	118	$$$		
格瑞潘	118	$$		
發現義大利麵	118	$$		
師大第一腿	118	$		
靚咖哩	118	$$		
馬祖麵館	118	$		
老爹De蛋蛋屋	118	$$		
滇緬料理	118	$$		
Barkers	118	$$		
男一早餐	dorm	$		
男一滷味	dorm	$		
男一自助餐	dorm	$		
芳蘭路牛肉麵	dorm	$		
武吉家	dorm	$$		
丼太郎	dorm	$		
男一麵店	dorm	$		
男七	dorm	$		
秀食屋	Guan	$$		
夜市麻油雞	Guan	$		
鴨片粉圓	Guan	$		
藍家割包	Guan	$		
派克2雞排	Guan	$		
吐司吧	Guan	$		
安好食	Guan	$		
淬煉廚房	Guan	$$		
十二巷拉麵	Guan	$$		
小飯館兒	Guan	$$		
大埔	Guan	$$		
阿里媽媽	Guan	$$		
阿姨滷味	Guan	$$		
鍋in	Guan	$$		
曼谷燒	Guan	$$		
MR.拉麵	Guan	$$		
Yu Poke	Guan	$$		
季丼屋	Guan	$$		
東園關東煮	Guan	$		
帕帕義大利麵	Guan	$$		
吉野家	Guan	$$		
極匠	Guan	$$$		
赤神豬排	Guan	$$$		
拉芙漢堡	Guan	$$$		
山嵐	Guan	$$$		
大盛	Guan	$$		
蔥丼	Guan	$$		
發福漢堡	Guan	$$$$		
馬辣	Guan	$$$$$		
新馬辣	Guan	$$$$$		
Pizza 幫	Guan	$$$$		
銀咖哩	Guan	$$		
狂愛咖哩	Guan	$$		
艾茉蕾披薩	Guan	$$		
活大自助餐	NTU	$		
活大素食	NTU	$		
活大麵包	NTU	$		
女九自助餐	NTU	$		
女九滷味	NTU	$		
大一女自助餐	NTU	$		
韓風小舖	NTU	$		
四海遊龍	NTU	$		
文湯武匠	NTU	$		
小福咖哩飯	NTU	$		
椰林燒臘	NTU	$		
大一女日式食堂	NTU	$		
大一女桔客義式麵屋	NTU	$		
大一女南北麵館	NTU	$		
大一女韓式料理	NTU	$		
社科院	NTU	$$		
麥當勞	NTU	$$		
coco一番屋	NTU	$$$		
摩絲漢堡	NTU	$$		
小福二樓	NTU	$$		
魯山人	NTU	$$$$		
Subway	NTU	$$		
漢堡王	NTU	$$		
十里坡	NTUE	$		
國北教學餐	NTUE	$		
豚太郎	NTUE	$		
哨子麵	NTUE	$		
台科自助餐	NTUST	$		
溫州大餛飩	NTUST	$		
地中海美食	NTUST	$		
鐵板燒	NTUST	$$		
韓式料理	NTUST	$		
簡餐	NTUST	$		
中一素食	R.nan	$		
嚴記	R.nan	$		
上賀	R.nan	$$		
七二	R.nan	$$		
八方雲集	R.nan	$		
七里亭	R.nan	$$		
泰街頭	R.nan	$$		
彩椒廚房	R.nan	$$		
麥子磨麵	R.nan	$$		
阿英滷肉飯	R.nan	$		
Sukiya	R.nan	$$		
溏老鴨	R.nan	$$		
DJ house 好食居	R.nan	$$		
國際機長	R.nan	$$		
轉轉發現義大利麵	R.nan	$$		
三個傻瓜	R.nan	$$$		
稻咖哩	R.nan	$$		
瑪莉珍Pizza	R.nan	$$$		
輝哥羊肉飯	six	$		
小惠涼麵	six	$		
樂業麵線	six	$		
老五麵店	six	$		
黑白切麵店	six	$		
祖傳乾麵	six	$		
紅牌飲料麵店	six	$		
真善美牛肉麵	six	$$		
四面八飯	six	$		
京品粥	six	$		
盛記	six	$		
越南料理	six	$$		
富士咖哩	six	$$		
井上禾食	six	$$$$		
尊王	six	$$		
